"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"pcb47a7-q","Capture spontaneous expressions of the child concerning the aftertaste of the suspension. The expression indicates that the aftertaste is …","Zapište spontánní výrazy dítěte ohledně přetrvávající chuti suspenze. Výrazy svědčí o tom, že přetrvávající chuť je ...","Обратите внимание на внешнее проявление эмоций ребенка в связи с послевкусием суспензии. Оно указывает на оценку послевкусия...","Relevez les expressions spontanées de l’enfant concernant l’arrière-goût de la suspension. L’expression indique que l’arrière-goût est...","Beskriv barnets spontana uttryck när det gäller suspensionens eftersmak. Uttrycket tyder på att eftersmaken är: …","Notez les expressions spontanées de l’enfant concernant l’arrière-goût de la suspension. L’expression indique que l’arrière-goût est …","Saisir les expressions spontanées de l’enfant concernant l’arrière-goût de la suspension. L’expression indique que l’arrière-goût est …","תיעוד התבטאויות ספונטניות של הילד לגבי טעם לוואי של התרחיף. ההתבטאות מצביעה על כך שטעם הלוואי הוא ...","Capte las expresiones espontáneas del niño acerca del gusto que deja en la boca la suspensión. La expresión indica que el gusto que deja en la boca es ...","현탁액의 뒷맛에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 뒷맛은...","Capture spontaneous expressions of the child concerning the aftertaste of the suspension. The expression indicates that the aftertaste is …","Proszę zanotować spontaniczne reakcje dziecka dotyczące posmaku zawiesiny. Reakcja wskazuje, że posmak jest…","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf den Nachgeschmack der Suspension. Anhand des Ausdrucks ist der Nachgeschmack ...","Capture spontaneous expressions of the child concerning the aftertaste of the suspension. The expression indicates that the aftertaste is …","Bedöm barnets spontana reaktion på suspensionens eftersmak. Reaktionen tyder på att eftersmaken är ...","Osservare le espressioni spontanee del bambino riguardo al retrogusto della sospensione. L’espressione indica che il retrogusto è...","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf den Nachgeschmack der Suspension. Anhand des Ausdrucks ist der Nachgeschmack ...","Capture spontaneous expressions of the child concerning the aftertaste of the suspension. The expression indicates that the aftertaste is …","Arvioi lapsen spontaania reaktiota suspension jälkimakuun. Reaktio viittaa siihen, että jälkimaku on...","Capte  expressões  espontâneas  da  criança  relativas  ao  gosto  residual  da  suspensão.  A expressão indica que gosto residual é...","التقط التعبيرات التلقائية للطفل فيما يتعلق بمذاق المعلق بعد البلع بفترة. يشير التعبير إلى أن مذاق ما بعد البلع بفترة …","Çocuğun süspansiyonun ağızda bıraktığı tada yönelik spontane ifadelerine dikkat edin. İfade, ilacın ağızda bıraktığı tadın ... olduğunu göstermektedir:","Capturar las expresiones espontáneas del niño/a sobre el regusto de la suspensión. La expresión indica que el regusto es...","Let op spontane uitdrukkingen van het kind met betrekking tot de nasmaak van de suspensie.  De uitdrukking geef aan dat de nasmaak .. is","Collectez les expressions spontanées de l’enfant concernant l’arrière-goût de la suspension. ","Jegyezze fel a gyermeknek a szuszpenzió utóízére vonatkozó spontán megnyilvánulásait. A gyermek megnyilvánulása azt jelzi, hogy az utóíz...",""
"pcb47a7-pcb47a7_a9f7f09-c","<p>Very bad</p>","Velmi špatné","Очень плохо","Très mauvaise","Mycket dålig","Très mauvaise","Très mauvaise","רע מאוד","Muy desagradable","매우 나쁨 ","Very bad","Bardzo złe","sehr schlecht","Very bad","mycket dålig ","Molto negativa","sehr schlecht","Very bad","todella huono","Muito mau","سيئ جدًا","Çok kötü","Muy mala","Heel slecht   ","Très mauvaise","Nagyon rossz","Zeer slecht"
"pcb47a7-pcb47a7_y8c15fc-c","<p>Bad</p>","Špatné","Плохо","Mauvaise","Dålig","Mauvaise","Mauvaise","רע","Desagradable","나쁨","Bad","Złe","schlecht ","Bad","dålig","Negativa","schlecht ","Bad","huono ","Mau","سيئ","Kötü","Mala","Slecht   ","Mauvaise","Rossz","Slecht"
"pcb47a7-pcb47a7_na042d2-c","<p>Neutral</p>","Neutrální","Нейтрально","Neutre ","Neutral","Neutre ","Neutre ","ניטרלי","Neutra","보통","Neutral","Neutralne","neutral","Neutral","varken bra eller dålig","Neutra","neutral","Neutral","ei hyvä eikä huono","Neutro","عادي","Nötr","Neutra","Neutraal","Neutre ","Semleges","Neutraal"
"pcb47a7-pcb47a7_hb5b426-c","<p>Good</p>","Dobré","Хорошо","Bonne","Bra","Bonne","Bonne","טוב","Agradable","좋음","Good","Dobre","gut","Good","bra","Positiva","gut","Good","hyvä","Bom","جيد"," İyi  ","Buena","Goed ","Bonne","Jó","Goed"
"pcb47a7-pcb47a7_bcf242e-c","<p>Very good</p>","Velmi dobré  ","Очень хорошо","Très bonne","Mycket bra ","Très bonne","Très bonne","טוב מאוד","Muy agradable","매우 좋음","Very good","Bardzo dobre","sehr gut","Very good","mycket bra","Molto positiva","sehr gut","Very good","todella hyvä  ","Muito bom","جيد جدًا","Çok iyi","Muy buena","Heel goed   ","Très bonne","Nagyon jó","Zeer Goed"
"pcb47a7-pcb47a7_r17b711-c","<p>Not assessable</p>","Nelze hodnotit","Не поддается оценке","Non évaluable ","Vet ej","Non évaluable ","Non évaluable ","לא ניתן להערכה","No se puede evaluar","평가할 수 없음","Not assessable","Niemożliwe do oceny","nicht bewertbar","Not assessable","Kan inte säga","Non valutabile","nicht bewertbar","Not assessable","ei arvioitavissa","Não avaliável","لم أستطع التقييم","Değerlendirilemiyor","No evaluable","Niet beoordeelbaar  ","Non évaluable ","Nem értékelhető","Niet van toepassing"
"t1c07b0-q","Is difficult to swallow:<br/><br>
Not assessable","Obtížně se polyká: Nelze vyhodnotit","Трудно проглатывается: не поддается оценке","Difficile à avaler : Non évaluable","Svår att svälja: Vet ej","Difficulté à avaler: Non évaluable","Difficile à avaler : Non évaluable","קשה לבליעה: קשה לבליעה: לא ניתן להערכה","Difícil de tragar: No evaluable","삼키기 어려움: 평가할 수 없음","Is difficult to swallow:
Not assessable","Trudność w przełknięciu: Niemożliwa do oceny","Lässt sich schwer schlucken: nicht bewertbar","Is difficult to swallow:
Not assessable","Svår att svälja: Kan inte ange orsak","Difficoltà a inghiottire non valutabile","Lässt sich schwer schlucken: nicht bewertbar","Is difficult to swallow:
Not assessable","Muusta syystä vaikeaa niellä: Ei arvioitavissa oleva nielemisvaikeus ","Difícil de engolir: Não avaliável","هل المعلق صعب البلع: صعوبة البلع: لم أستطع التقييم","Zor yutuluyor: Değerlendirilemiyor","Es difícil de tragar: No evaluable","Moeilijk door te slikken: niet beoordeelbaar","Difficile à avaler : Non évaluable","Nehéz lenyelni: Nem értékelhető","Moeilijk te slikken: Niet te beoordelen"
"t1c07b0-t1c07b0_q6a1882-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"t1c07b0-t1c07b0_v37b7e3-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"ta2dd39-q","PLEASE SPECIFY","PROSÍM UPŘESNĚTE:","УТОЧНИТЕ, КАКИМ","VEUILLEZ PRÉCISER","VÄNLIGEN SPECIFICERA","VEUILLEZ PRÉCISER","VEUILLEZ PRÉCISER","אנא פרט","ESPECIFIQUE","자세하게 적어주십시오.","PLEASE SPECIFY","","BITTE GENAU ANGEBEN","PLEASE SPECIFY","AV VILKEN ORSAK:","SPECIFICARE","BITTE GENAU ANGEBEN","PLEASE SPECIFY","Mistä syystä?","ESPECIFIQUE","يرجى التحديد","LÜTFEN BELİRTİN","ESPECIFICAR","","VEUILLEZ PRÉCISER","KÉRJÜK, JELLEMEZZE","Specificeer"
"iea444c-q","Is difficult to swallow:<br/><br>
Other reason difficult to swallow","Obtížně se polyká: jiný důvod, proč se obtížně polyká","Трудно проглатывается: Глотание затруднено по другим причинам","Difficile à avaler : Difficile à avaler pour une autre raison","Svår att svälja: Annan anledning till varför svår att svälja ","Difficulté à avaler: Autre raison Difficulté à avaler","Difficile à avaler : Autre raison pour laquelle c’est difficile à avaler","קשה לבליעה: סיבה אחרת שקשה לבלוע","Difícil de tragar:","삼키기 어려움: 그 외의 삼키기 어려운 이유","Is difficult to swallow:
Other reason difficult to swallow","Trudność w przełknięciu: Inny powód trudności w przełknięciu","Lässt sich schwer schlucken: Anderer Grund für schlechte Schluckbarkeit","Is difficult to swallow:
Other reason difficult to swallow","Svår att svälja: Svår att svälja av annan orsak","È difficile da inghiottire: È difficile da inghiottire per un altro motivo","Lässt sich schwer schlucken: Anderer Grund für schlechte Schluckbarkeit","Is difficult to swallow:
Other reason difficult to swallow","On vaikeaa niellä: Muusta syystä vaikeaa niellä","Difícil de engolir: Outra razão para ser difícil de engolir","هل المعلق صعب البلع: أسباب أخرى لصعوبة البلع","Zor yutuluyor: Yutmayı zorlaştıran diğer neden","Es difícil de tragar: Otra razón para que sea difícil de tragar","Moeilijk door te slikken: Ander reden moeilijk om door te slikken","Difficile à avaler : Autre raison pour laquelle c’est difficile à avaler","Nehéz lenyelni: Egyéb ok a nehéz lenyelhetőségre","Moeilijk te slikken: Andere reden moeilijk te slikken"
"iea444c-iea444c_ze54501-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"iea444c-iea444c_m4d8f84-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"afc3624-q","The suspension has a  ….<br/><br>
Fruity Taste","Suspenze má.... ovocnou chuť","Вкус суспензии... Фруктовый  ","La suspension a un …. Goût fruité  ","Suspensionen har en ... Fruktig smak","La suspension a un …. Goût fruité  ","La suspension a un …. Goût fruité  ","לתרחיף יש …. טעם פירותי ","La suspensión tiene …. Gusto a frutas  ","현탁액의 맛은.... 과일맛","The suspension has a  ….
Fruity Taste","Zawiesina ma… Owocowy smak  ","Die Suspension hat einen … fruchtigen Geschmack","The suspension has a  ….
Fruity Taste","Suspensionen har en ... Fruktig smak","La sospensione haun... Sapore fruttato","Die Suspension hat einen … fruchtigen Geschmack","The suspension has a  ….
Fruity Taste","Suspension maku on … Hedelmäinen  ","A suspensão tem um... Sabor frutado","يمتلك المعلقمذاقًا... مذاق الفاكهة   ","Süspansiyonun ....bir tadı var. Meyveli","La suspensión tiene un .... Sabor afrutado","De suspensie smaakt Fruitig  ","La suspension a un goût Fruité  ","A szuszpenzió íze... Gyümölcsös ","De suspensie is …. Fruitige smaak"
"afc3624-afc3624_c8c1b4b-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"afc3624-afc3624_pdc57a2-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"z7d8e96-q","Is difficult to swallow:<br/><br>
Oily","Obtížně se polyká: mastný","Трудно проглатывается: Масляная","Difficile à avaler : Huileux","Suspensionen har en ... Oljig","Difficulté à avaler: Grasse","Difficile à avaler : C’est gras","קשה לבליעה: שמנוני","Difícil de tragar: Aceitosa","삼키기 어려움: 기름지다.","Is difficult to swallow:
Oily","Trudność w przełknięciu: Oleista","Lässt sich schwer schlucken: ölig","Is difficult to swallow:
Oily","Svår att svälja: Oljigt","È difficile da inghiottire: È oleosa","Lässt sich schwer schlucken: ölig","Is difficult to swallow:
Oily","On vaikeaa niellä: Rasvaista","Difícil de engolir: Oleosa","هل المعلق صعب البلع: زيتي","Zor yutuluyor: Yağlı","Es difícil de tragar: Aceitosa","Moeilijk door te slikken: Olieachtig","Difficile à avaler : C’est gras","Nehéz lenyelni: Olajos","Moeilijk te slikken: Vettig"
"z7d8e96-z7d8e96_u19588b-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"z7d8e96-z7d8e96_m7bed1d-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"ue66424-q","Is difficult to swallow:<br/><br>
Sticky","Obtížně se polyká: lepkavý","Трудно проглатывается: Липкая","Difficile à avaler : Collant","Suspensionen har en ... Klibbig","La suspension a un …. Collante","Difficile à avaler : C’est collant","קשה לבליעה: דביק","Difícil de tragar: Pegajosa","삼키기 어려움: 끈적끈적하다.","Is difficult to swallow:
Sticky","Trudność w przełknięciu: Kleista","Lässt sich schwer schlucken: klebrig","Is difficult to swallow:
Sticky","Svår att svälja: Klibbigt","È difficile da inghiottire: È appiccicosa","Lässt sich schwer schlucken: klebrig","Is difficult to swallow:
Sticky","On vaikeaa niellä: Tahmeaa","Difícil de engolir: Pegajosa","هل المعلق صعب البلع: لزج","Zor yutuluyor: Yapışkan","Es difícil de tragar: Pegajosa","Moeilijk door te slikken: Plakkerig","Difficile à avaler : C’est collant","Nehéz lenyelni: Ragadós","Moeilijk te slikken: Plakkerig"
"ue66424-ue66424_ee83b81-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"ue66424-ue66424_p43df63-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"h6b3bfb-q","Is difficult to swallow:<br/><br>
Too much","Obtížně se polyká: velké množství","Трудно проглатывается: Слишком много","Difficile à avaler : Trop gros","Suspensionen har en ... För mycket","La suspension a un …. De trop","Difficile à avaler : Il y en a trop","קשה לבליעה: כמות גדולה מדי","Difícil de tragar: Demasiada cantidad","삼키기 어려움: 너무 많다.","Is difficult to swallow:
Too much","Trudność w przełknięciu: Dawka jest zbyt obfita","Lässt sich schwer schlucken: zu viel","Is difficult to swallow:
Too much","Svår att svälja: För stor mängd","È difficile da inghiottire: È in quantità eccessiva","Lässt sich schwer schlucken: zu viel","Is difficult to swallow:
Too much","On vaikeaa niellä: Liian suuri määrä","Difícil de engolir: Demasiada quantidade","هل المعلق صعب البلع: كبير للغاية","Zor yutuluyor: Çok fazla","Es difícil de tragar: Demasiado","Moeilijk door te slikken: Te veel","Difficile à avaler : Il y en a trop","Nehéz lenyelni: Túl sok","Moeilijk te slikken: Te veel"
"h6b3bfb-h6b3bfb_g7fce94-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"h6b3bfb-h6b3bfb_ua8aca6-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"r78606c-q","Is difficult to swallow:<br/><br>
Too big","Obtížně se polyká: příliš velké","Трудно проглатывается: Слишком объемная","Difficile à avaler : Trop grande quantité","Suspensionen har en ... För stor","La suspension a un …. Trop grosse","Difficile à avaler : C’est trop gros","קשה לבליעה: גדול מדי","Difícil de tragar: Demasiado grande","삼키기 어려움: 너무 크다.","Is difficult to swallow:
Too big","Trudność w przełknięciu: Dawka jest za duża","Lässt sich schwer schlucken: zu groß","Is difficult to swallow:
Too big","Svår att svälja: För stor","È difficile da inghiottire: È troppo grande","Lässt sich schwer schlucken: zu groß","Is difficult to swallow:
Too big","On vaikeaa niellä: Liian iso","Difícil de engolir: Muito grande","هل المعلق صعب البلع: دسم للغاية","Zor yutuluyor: Çok büyük","Es difícil de tragar: Demasiado grande","Moeilijk door te slikken: Te groot","Difficile à avaler : C’est trop gros","Nehéz lenyelni: Túl nagy","Moeilijk te slikken: Te groot"
"r78606c-r78606c_e18b60d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"r78606c-r78606c_o97def6-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"l6d25bb-q","The suspension ….<br/><br>
Is difficult to swallow","Suspenze vyvolává pocit, který lze popsat jako ... Obtížně se polyká","Суспензия ощущается как... Трудно проглатывается","La suspension est…  Difficile à avaler ","Suspensionen ... Är svår att svälja","La suspension donne une … Est difficile à avaler","La suspension …. Est difficile à avaler","התרחיף …. קשה לבליעה","La suspensión ... Difícil de tragar","현탁액은... 삼키기 어려움","The suspension ….
Is difficult to swallow","Zawiesina… Jest trudna do przełknięcia","Die Suspension … lässt sich schwer schlucken","The suspension ….
Is difficult to swallow","Suspensionen ... Är svår att svälja","La sospensione... È difficile da inghiottire","Die Suspension … lässt sich schwer schlucken","The suspension ….
Is difficult to swallow","Suspensio... On vaikeaa niellä","A suspensão... É difícil de engolir","المعلق… هل المعلق صعب البلع","Süspansiyon .... Zor yutuluyor","La suspensión .... Es difícil de tragar","De suspensie ... Is moeilijk door te slikken","La suspension …. Est difficile à avaler","A szuszpenzió... Nehéz lenyelni","De Suspensie  …. Is moeilijk te slikken"
